#{"t_start": 1789427883.1638968, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
315.0,3211,7322.093117
200.0,2361,7331.518682
70.0,1221,7336.359436
50.0,1351,7341.66307
210.0,1871,7348.957448
155.0,1505,7354.892308
225.0,2005,7362.810584
335.0,3535,7377.139596
105.0,1581,7383.279065
255.0,2483,7393.281833
120.0,1877,7400.680925
155.0,1851,7408.037828
210.0,2013,7415.969079
75.0,1549,7422.123921
185.0,1921,7429.646015
235.0,2453,7439.494163
280.0,2891,7451.03196
90.0,1173,7455.64511
195.0,3015,7467.828881
210.0,2473,7477.721368
180.0,2063,7485.985811
270.0,2183,7494.688823
245.0,1977,7502.637269
450.0,2721,7513.501993
190.0,2473,7523.326776
135.0,1559,7529.419459
195.0,2053,7537.597636
245.0,1795,7544.758538
175.0,2029,7552.805901
135.0,1535,7559.475912
190.0,1917,7567.257839
255.0,2453,7577.110669
105.0,1531,7583.089652
200.0,1955,7591.04542
375.0,2923,7603.30184
230.0,2139,7611.835098
110.0,1129,7616.267729
355.0,3379,7629.845937
220.0,1883,7637.238402
260.0,2777,7648.369394
130.0,1915,7656.063366
270.0,2437,7665.710871
130.0,1701,7672.710673
460.0,4979,7692.918676
185.0,2015,7700.989163
260.0,2055,7709.059648
240.0,2937,7721.011513
260.0,2047,7729.310163
190.0,1783,7736.200266
220.0,2379,7745.718677
235.0,2297,7754.977809
455.0,4482,7772.967129
135.0,1925,7780.595384
560.0,3567,7795.052058
160.0,2293,7804.285238
215.0,2961,7816.090655
470.0,3397,7829.671053
280.0,2699,7840.38282
190.0,1949,7848.223592
150.0,2031,7856.252954
120.0,2259,7865.505216
205.0,2081,7873.84032
210.0,2411,7883.430811
245.0,2435,7893.224341
195.0,3933,7909.131613
360.0,4089,7925.615442
130.0,1913,7933.372153
170.0,2509,7943.335369
100.0,1881,7950.843025
115.0,2219,7959.662833
190.0,2415,7969.317519
135.0,2245,7978.294496
220.0,2055,7986.542038
135.0,1717,7993.309803
210.0,1953,8000.988128
235.0,2299,8010.164199
215.0,2447,8020.007864
220.0,2431,8029.782204
190.0,2131,8038.280432
285.0,2725,8049.122941
120.0,1907,8071.576089
115.0,1507,8077.466852
80.0,1097,8081.732798
235.0,2513,8091.908112
65.0,1889,8099.48383
500.0,2765,8110.5324
385.0,2747,8121.452648
105.0,1533,8127.594974
145.0,2551,8137.914495
375.0,3387,8151.679005
220.0,2469,8161.736313
120.0,1445,8167.460588
185.0,1903,8175.149158
190.0,1939,8182.922716
160.0,2051,8191.116942
325.0,3235,8204.173815
175.0,2063,8212.444719
205.0,2081,8220.746507
455.0,4509,8238.890188
215.0,1907,8246.449619
220.0,2401,8256.037321
410.0,4384,8273.529846
165.0,2283,8282.5457
115.0,2037,8290.65173
285.0,1967,8298.424965
540.0,3763,8313.510479
325.0,3767,8328.751068
210.0,2401,8338.356971
120.0,1479,8344.197113
240.0,2867,8355.80145
250.0,2423,8365.414037
270.0,3703,8380.342162
145.0,1495,8386.210651
440.0,3031,8398.563689
290.0,2551,8408.891537
255.0,2173,8417.539999
130.0,2259,8426.601233
480.0,4787,8445.918585
390.0,3591,8460.771485
220.0,3071,8473.120388
75.0,1045,8477.187814
50.0,1157,8481.745716
900.0,4995,8503.073985
260.0,1925,8511.006185
80.0,1097,8515.254092
270.0,2201,8524.224319
135.0,1909,8531.993618
395.0,3027,8544.476305
145.0,2011,8553.003978
235.0,2531,8563.343637
220.0,2983,8575.514256
245.0,2881,8587.581245
340.0,3583,8601.848293
295.0,2911,8613.67846
210.0,1877,8621.097986
245.0,2515,8631.090601
170.0,1929,8638.848597
345.0,4229,8655.883527
160.0,1935,8663.429264
265.0,2083,8671.823554
55.0,1129,8676.187516
170.0,1885,8683.930378
300.0,3825,8699.223114
200.0,2003,8707.323527
220.0,2393,8716.956694
220.0,2449,8726.80146
70.0,1131,8731.249644
320.0,3245,8744.460851
250.0,2227,8753.317314
250.0,2515,8763.536754
240.0,2107,8772.005471
310.0,2649,8782.653978
290.0,2119,8791.188643
180.0,2079,8799.522116
195.0,2933,8811.305531
220.0,2061,8819.560239
280.0,2693,8830.337691
355.0,4227,8847.344004
215.0,1815,8854.595772
180.0,1635,8861.026827
375.0,3307,8874.124004
265.0,2295,8883.448838
235.0,2425,8893.054488
405.0,4115,8909.631034
80.0,1053,8913.682181
255.0,2691,8924.488272
365.0,2825,8935.679883
195.0,3301,8948.955248
260.0,2767,8959.953991
105.0,1925,8967.558859
240.0,3849,8982.941444
235.0,2507,8993.086867
355.0,2621,9003.84212
225.0,2455,9013.607053
260.0,2803,9024.647144
650.0,4021,9040.71397
235.0,2221,9049.606553
620.0,4665,9068.312305
545.0,3273,9081.274888
235.0,2445,9090.964228
455.0,4465,9108.79229
135.0,1633,9115.290865
480.0,4215,9132.06597
105.0,1543,9138.151886
120.0,1331,9143.217567
170.0,2115,9151.59779
210.0,2037,9159.689034
245.0,1959,9167.431717
245.0,1917,9175.003962
235.0,2615,9185.405317
370.0,2885,9196.81938
140.0,2093,9205.016769
160.0,1875,9212.305684
240.0,3223,9225.217177
125.0,2025,9233.207631
240.0,3197,9246.696975
215.0,1851,9254.048745
305.0,3193,9266.676281
215.0,2453,9276.576637
180.0,1947,9284.222444
230.0,2463,9294.102409
240.0,2655,9304.681406
225.0,2769,9315.732617
115.0,2135,9324.209864
850.0,5123,9344.766652
65.0,1063,9348.866118
215.0,1959,9357.157362
185.0,1805,9364.532647
250.0,2291,9373.684325
70.0,1127,9378.150048
180.0,2843,9389.47254
590.0,4441,9407.834415
470.0,3393,9421.337719
190.0,2051,9429.454921
365.0,3181,9442.182622
310.0,2953,9453.946966
250.0,2007,9461.923601
75.0,1067,9466.066981
180.0,2053,9474.205128
195.0,3561,9488.602106
295.0,2003,9496.605603
135.0,1885,9504.135014
380.0,3223,9517.020998
215.0,2483,9526.988303
220.0,3087,9539.188117
225.0,2265,9552.254755
515.0,3181,9566.802708
935.0,6513,9596.191349
125.0,1655,9603.131457
105.0,1197,9608.334257
95.0,1585,9615.452862
270.0,2099,9624.367737
380.0,3039,9637.497059
195.0,2035,9646.183294
155.0,2405,9656.984021
165.0,1827,9665.116036
90.0,1569,9671.737336
190.0,1901,9680.306655
165.0,1995,9688.863808
205.0,1891,9697.018556
220.0,2291,9707.180533
150.0,1945,9715.626988
270.0,2491,9745.395562
195.0,1767,9753.192181
280.0,2129,9762.347697
300.0,2863,9774.80206
335.0,4003,9792.155585
160.0,2095,9801.607513
235.0,2349,9811.591049
365.0,2829,9823.758208
165.0,1937,9832.525343
215.0,1939,9840.792879
395.0,4337,9859.682854
425.0,3557,9875.339051
155.0,2085,9884.328206
305.0,3277,9898.249569
215.0,2013,9906.898213
400.0,4261,9927.384702
270.0,2611,9938.70267
170.0,1845,9946.732223
470.0,3189,9960.68448
105.0,1119,9965.326351
195.0,2013,9973.938367
175.0,2047,9983.114587
90.0,1087,9987.70022
710.0,3833,10004.131668
185.0,2011,10012.703596
270.0,3253,10027.010591
340.0,2639,10038.372809
125.0,1991,10046.762616
105.0,1055,10051.438233
440.0,2321,10061.495989
405.0,4063,10078.977292
285.0,3295,10093.780046
220.0,2799,10106.121984
255.0,2613,10117.391637
320.0,3815,10133.730089
285.0,2681,10145.191604
475.0,2667,10156.570626
295.0,2591,10167.595268
370.0,3195,10181.728355
110.0,1169,10186.820474
350.0,2863,10199.221152
220.0,2441,10209.801902
295.0,3037,10222.956851
290.0,2835,10235.22789
335.0,3241,10249.097776
520.0,3921,10266.834559
240.0,2297,10277.463028
535.0,3481,10292.761526
185.0,1561,10299.783601
90.0,1673,10307.483934
175.0,1861,10315.540601
175.0,1927,10324.181591
210.0,2471,10334.960209
100.0,1473,10341.247631
375.0,2649,10352.645477
350.0,3279,10367.104554
255.0,2563,10378.034424
240.0,2281,10387.776361
265.0,2329,10397.903851
190.0,2013,10406.235747
55.0,1173,10411.050004
130.0,1667,10418.188336
